NSFTVID	Flowering_time_at_Arkansas	Flowering_time_at_Faridpur	Flowering_time_at_Aberdeen	FT_ratio_of_Arkansas_Aberdeen	FT_ratio_of_Faridpur_Aberdeen	Culm_habit	Flag_leaf_length	Flag_leaf_width	Panicle_number_per_plant	Plant_height	Panicle_length	Primary_panicle_branch_number	Seed_number_per_panicle	Florets_per_panicle	Panicle_fertility	Seed_length	Seed_width	Seed_volume	Seed_surface_area	Brown_rice_seed_length	Brown_rice_seed_width	Brown_rice_surface_area	Brown_rice_volume	Seed_length_width_ratio	Brown_rice_length_width_ratio	Straighthead_suseptability	Blast_resistance	Amylose_content	Alkali_spreading_value	Protein_content 
NSFTV_237	 75.583	 66	 76	0.995	0.868	3.167	22.800	0.958	2.823	 95.000	23.333	 9.000	4.540	4.686	0.864	11.234	2.819	2.452	4.027	7.686	2.251	3.480	5.474	3.985	3.415	6.000	7	11.407	2.000	 9.600
NSFTV_240	 77.333	 77	 87	0.889	0.885	3.500	24.267	1.358	2.752	103.750	24.173	11.818	4.895	5.035	0.870	 9.197	3.588	2.649	4.009	6.557	2.970	3.583	7.889	2.563	2.208	5.998	1	12.580	3.667	 8.000
NSFTV_241	 92.250	 77	100	0.923	0.770	3.000	25.833	1.183	3.546	 98.778	24.800	10.000	4.954	5.164	0.811	 7.829	2.731	1.993	3.614	5.688	2.324	3.204	4.263	2.867	2.447	8.335	1	25.213	7.000	 8.150
NSFTV_242	 81.750	 52	 48	1.703	1.083	3.500	26.467	1.275	3.199	115.167	21.756	 9.111	4.994	5.085	0.913	 8.778	3.201	2.397	3.866	6.470	2.678	3.471	6.379	2.742	2.416	7.000	5	19.323	5.375	 8.250
NSFTV_243	 61.750	 76	 80	0.772	0.950	4.333	29.278	1.000	3.633	 86.333	20.717	 8.000	4.422	4.588	0.847	 9.919	3.147	2.521	3.997	7.271	2.598	3.562	6.780	3.151	2.799	6.998	9	19.970	5.375	 7.950
NSFTV_248	 77.500	 66	 54	1.435	1.222	5.000	29.333	1.158	2.833	119.583	22.245	 9.727	4.972	5.177	0.815	 8.567	3.647	2.606	3.953	6.275	2.996	3.526	7.435	2.349	2.095	4.835	8	14.780	6.792	 9.100
NSFTV_251	 87.750	 79	104	0.844	0.760	3.000	28.767	1.100	3.146	 90.000	24.392	10.250	4.860	5.128	0.765	 8.987	2.299	1.815	3.602	7.022	1.977	3.247	3.749	3.910	3.551	7.332	8	20.223	5.333	 8.900
NSFTV_252	 75.750	 78	 90	0.842	0.867	8.500	36.017	1.017	3.875	136.250	23.156	 7.111	4.519	4.736	0.805	10.342	2.684	2.227	3.869	7.234	2.259	3.432	5.236	3.853	3.203	6.500	4	25.270	5.750	 8.250
NSFTV_254	 78.167	 68	 73	1.071	0.932	8.500	35.825	1.183	3.771	125.083	28.000	 8.833	4.958	5.200	0.785	 8.548	3.047	2.284	3.798	6.302	2.567	3.409	5.780	2.805	2.455	7.500	1	25.923	5.500	 7.950
NSFTV_257	 66.833	 60	 68	0.983	0.882	3.000	27.627	0.982	3.071	 90.750	18.542	 8.167	4.491	4.737	0.782	 9.782	3.156	2.510	3.985	7.190	2.580	3.547	6.652	3.100	2.787	6.165	8	18.223	5.361	 9.600
NSFTV_261	 79.750	 67	 92	0.867	0.728	6.000	30.283	1.125	3.964	102.667	19.345	 6.636	4.289	4.377	0.916	 7.996	2.776	1.970	3.596	5.822	2.386	3.231	4.434	2.881	2.440	8.668	9	25.453	4.583	 8.400
NSFTV_264	 78.000	 66	 85	0.918	0.776	3.000	23.633	1.400	3.076	102.833	19.117	10.000	4.842	4.969	0.881	 9.504	3.585	2.737	4.081	6.996	2.960	3.648	8.414	2.651	2.364	4.832	8	14.363	6.542	 8.850
NSFTV_266	 70.750	 72	 76	0.931	0.947	2.167	21.175	0.992	2.881	110.167	21.133	 8.333	5.081	5.156	0.928	 7.543	3.598	2.437	3.800	5.199	3.032	3.378	6.568	2.097	1.715	4.167	8	14.025	6.542	 8.350
NSFTV_267	 77.167	 66	 87	0.887	0.759	5.000	19.283	0.592	3.507	 97.250	18.792	 9.667	4.472	4.576	0.901	 7.441	3.398	2.323	3.738	5.238	2.888	3.322	5.888	2.190	1.814	4.502	6	14.455	6.500	 8.700
NSFTV_268	 60.400	 65	 59	1.024	1.102	5.000	37.617	1.108	3.389	106.000	22.392	 7.917	4.369	4.537	0.846	 9.054	3.400	2.548	3.952	6.435	2.839	3.524	7.121	2.663	2.267	6.498	8	17.607	5.517	 8.650
NSFTV_271	 78.667	 63	100	0.787	0.630	5.000	28.433	1.100	2.627	114.250	24.025	10.667	4.871	5.111	0.786	10.170	3.718	2.872	4.184	7.572	3.095	3.766	9.861	2.736	2.447	4.998	9	14.657	6.333	10.150
NSFTV_272	108.083	 62	107	1.010	0.579	3.000	35.850	1.042	3.412	142.444	32.200	 7.091	4.051	4.651	0.549	12.549	2.941	2.669	4.198	8.784	2.454	3.699	7.395	4.267	3.579	7.502	6	25.550	7.000	10.150
NSFTV_273	 82.167	 78	113	0.727	0.690	3.000	29.808	1.217	2.813	130.833	23.873	10.273	4.886	5.095	0.811	 9.221	3.347	2.515	3.947	6.680	2.766	3.515	6.823	2.755	2.415	6.000	1	16.083	2.083	 9.500
NSFTV_275	 77.667	 65	 76	1.022	0.855	5.000	26.592	1.108	3.012	100.250	20.325	 9.833	4.405	4.523	0.889	 8.567	3.357	2.483	3.899	6.169	2.750	3.448	6.417	2.552	2.243	6.832	6	15.680	6.667	 8.500
NSFTV_277	 82.333	 67	138	0.597	0.486	3.000	25.311	1.511	3.076	101.100	17.833	10.778	4.922	5.189	0.766	 8.544	3.848	2.687	3.984	6.063	3.213	3.567	8.359	2.220	1.887	5.665	8	17.010	6.917	 9.050
NSFTV_279	 57.250	 57	 45	1.272	1.267	4.500	29.200	0.942	3.235	 90.917	16.950	 6.167	4.292	4.489	0.821	 8.293	3.400	2.470	3.875	6.118	2.856	3.474	6.806	2.439	2.142	5.998	2	19.267	6.500	11.150
NSFTV_282	 80.917	 78	113	0.716	0.690	3.000	21.425	1.467	3.008	 79.750	16.778	11.111	5.201	5.358	0.855	 7.652	3.864	2.599	3.890	5.451	3.092	3.431	7.036	1.981	1.763	6.167	8	15.397	6.750	 8.950
NSFTV_283	 77.583	 74	 80	0.970	0.925	4.500	28.142	1.167	3.072	 96.417	19.373	 9.727	4.831	5.095	0.768	 8.309	3.641	2.599	3.936	6.076	3.040	3.535	7.730	2.282	1.999	4.500	8	14.920	2.250	 9.600
NSFTV_285	 79.500	 67	 52	1.529	1.288	2.500	27.742	1.292	2.651	 93.167	22.511	 9.222	4.917	5.089	0.841	 9.680	2.972	2.361	3.900	7.148	2.528	3.499	6.150	3.257	2.828	6.002	1	20.300	5.083	 8.950
NSFTV_286	 86.000	 77	100	0.860	0.770	5.000	32.889	1.622	3.072	105.167	25.056	11.222	4.834	5.134	0.741	 9.432	3.401	2.621	4.017	6.958	2.857	3.604	7.784	2.773	2.436	8.502	1	13.963	3.792	 8.450
NSFTV_287	 54.500	 56	 54	1.009	1.037	5.667	29.358	1.258	3.063	 91.083	18.617	 6.417	4.221	4.429	0.812	 8.113	3.747	2.619	3.930	5.630	3.141	3.491	7.664	2.165	1.793	6.002	8	15.040	7.000	 8.000
NSFTV_288	 58.000	 54	 48	1.208	1.125	2.333	31.025	1.142	3.164	 89.333	19.033	 7.083	4.143	4.415	0.762	 8.895	3.360	2.515	3.933	6.473	2.774	3.501	6.801	2.647	2.334	6.167	7	20.240	7.000	11.000
NSFTV_289	 63.000	 56	 61	1.033	0.918	2.500	31.942	0.942	3.283	 98.083	20.000	 6.818	4.275	4.392	0.890	 8.752	3.531	2.589	3.957	6.325	2.925	3.526	7.337	2.479	2.162	5.167	7	17.773	6.792	 9.900
NSFTV_290	 74.750	 65	 80	0.934	0.813	4.500	27.992	1.008	3.748	 90.917	18.845	10.182	4.892	4.963	0.932	 7.165	3.456	2.314	3.712	5.046	2.966	3.319	6.056	2.073	1.701	4.000	9	15.117	6.750	 8.000
NSFTV_296	 79.750	 67	113	0.706	0.593	3.500	24.950	1.383	3.486	 97.083	19.464	 8.818	4.907	5.081	0.840	 8.318	3.730	2.597	3.928	6.031	3.086	3.526	7.703	2.230	1.955	4.165	8	15.530	7.000	 8.900
NSFTV_297	 82.833	 67	137	0.605	0.489	3.000	24.600	1.375	3.222	 99.917	18.145	10.636	4.894	5.276	0.683	 8.423	3.840	2.679	3.973	6.084	3.226	3.572	8.421	2.194	1.886	5.665	9	16.770	6.958	 9.350
NSFTV_300	 76.250	 67	 73	1.045	0.918	4.500	28.517	1.317	2.909	 99.750	21.211	10.333	5.046	5.204	0.854	 8.103	3.407	2.412	3.829	5.810	2.850	3.415	6.380	2.379	2.039	7.335	5	18.917	7.000	 8.000
NSFTV_301	 75.583	 60	 68	1.112	0.882	3.667	25.511	0.778	2.723	108.222	21.244	 9.444	4.835	5.010	0.839	 7.306	3.293	2.262	3.702	5.459	2.812	3.333	5.809	2.218	1.942	5.335	9	14.950	5.028	11.300
NSFTV_303	 81.750	 67	130	0.629	0.515	3.500	24.008	1.425	3.178	 98.417	17.558	10.083	4.969	5.245	0.759	 8.370	3.806	2.661	3.963	6.079	3.222	3.572	8.405	2.199	1.887	5.002	9	16.390	6.625	 8.350
NSFTV_305	 76.083	 67	113	0.673	0.593	4.000	26.150	1.233	3.128	123.250	23.011	 9.222	4.881	4.977	0.908	 9.647	3.530	2.711	4.074	7.270	2.936	3.668	8.439	2.733	2.476	6.835	9	13.720	5.500	 9.350
NSFTV_306	 59.500	 63	 59	1.008	1.068	3.500	22.983	0.858	3.393	 97.000	18.100	 7.556	4.250	4.492	0.785	 7.338	3.613	2.462	3.809	5.421	3.080	3.420	6.954	2.031	1.760	5.835	9	17.010	6.917	11.050
NSFTV_308	 90.917	 75	113	0.805	0.664	3.500	31.708	1.100	3.209	105.083	27.411	12.889	5.354	5.585	0.794	 8.681	2.436	1.858	3.598	6.672	2.138	3.265	4.108	3.564	3.121	8.332	4	20.407	4.000	 9.250
NSFTV_311	 80.500	 77	113	0.712	0.681	4.000	23.592	0.717	3.517	 94.667	20.613	10.625	4.729	4.930	0.818	 7.348	3.429	2.323	3.729	5.214	2.934	3.336	6.093	2.143	1.777	6.835	8	14.987	6.917	 7.650
NSFTV_313	 86.500	 76	 92	0.940	0.826	4.500	26.917	1.292	3.418	123.167	24.342	10.167	5.171	5.289	0.889	 9.053	2.508	1.993	3.692	6.746	2.121	3.309	4.373	3.609	3.180	6.998	2	24.215	5.292	 7.900
NSFTV_314	 81.167	 77	 97	0.837	0.794	6.500	40.000	1.525	3.699	130.667	24.367	 8.556	5.009	5.087	0.925	 8.393	2.756	2.022	3.655	6.034	2.352	3.257	4.496	3.045	2.566	7.498	4	24.927	5.778	 7.750
NSFTV_316	 83.417	 77	 76	1.098	1.013	7.500	36.825	1.500	3.344	135.500	26.850	10.000	5.422	5.470	0.953	 7.020	3.027	2.017	3.554	5.111	2.632	3.202	4.763	2.319	1.942	6.498	5	23.285	5.583	 8.200
NSFTV_321	 81.750	 78	 92	0.889	0.848	5.500	30.642	1.533	3.128	131.917	25.250	11.167	5.136	5.197	0.941	 7.325	2.835	1.963	3.556	5.321	2.416	3.172	4.283	2.584	2.202	7.000	6	25.233	5.528	 8.450
NSFTV_333	 62.583	 39	 52	1.204	0.750	4.091	26.736	0.845	3.784	 81.545	19.338	 7.875	4.451	4.640	0.828	 7.055	3.268	2.201	3.650	4.951	2.794	3.238	5.250	2.158	1.772	6.332	9	14.267	6.958	 7.150
NSFTV_334	 76.583	 69	 80	0.957	0.863	4.000	28.417	1.317	2.975	112.083	20.175	10.000	5.013	5.131	0.888	 9.118	3.808	2.762	4.062	6.717	3.113	3.644	8.761	2.394	2.158	4.335	9	17.600	5.528	 8.650
NSFTV_335	 81.500	 78	 80	1.019	0.975	2.500	24.267	1.017	3.674	 86.500	19.309	 8.364	4.564	4.743	0.837	 8.485	3.295	2.385	3.836	5.968	2.744	3.407	6.133	2.575	2.175	7.335	9	10.343	3.542	 8.800
NSFTV_341	 86.750	 77	100	0.868	0.770	5.000	36.942	1.425	3.442	132.000	24.444	 9.444	5.161	5.229	0.934	 9.104	2.675	2.068	3.720	6.417	2.300	3.317	4.723	3.404	2.790	8.502	5	25.453	6.583	 7.400
NSFTV_343	 75.667	 70	 80	0.946	0.875	4.500	30.450	1.200	2.975	118.583	22.417	11.455	4.949	5.120	0.843	 9.060	3.347	2.522	3.947	6.620	2.740	3.513	6.799	2.707	2.416	5.832	8	14.383	5.361	 8.550
NSFTV_344	 80.000	 71	 92	0.870	0.772	5.500	25.450	0.950	3.597	129.500	22.064	 8.000	4.361	4.648	0.751	 7.092	3.477	2.320	3.716	4.987	2.989	3.307	6.028	2.039	1.668	7.665	6	20.077	5.042	 8.100
NSFTV_346	 84.833	 77	 98	0.866	0.786	4.000	35.417	1.225	3.638	129.167	24.889	 8.444	5.042	5.133	0.913	 9.194	2.663	2.071	3.727	6.502	2.284	3.326	4.750	3.452	2.846	7.835	3	26.370	5.333	 8.800
NSFTV_347	 93.250	 78	107	0.871	0.729	3.000	35.333	1.525	3.087	139.583	24.655	 9.636	4.952	5.066	0.892	 9.335	3.172	2.447	3.924	6.873	2.664	3.523	6.679	2.943	2.580	8.165	8	21.617	5.875	 8.600
NSFTV_348	 73.000	 57	 68	1.074	0.838	7.500	25.675	1.108	3.816	123.917	23.875	 8.083	4.623	4.684	0.941	 8.028	3.172	2.295	3.771	5.763	2.641	3.345	5.576	2.531	2.182	6.335	3	23.980	5.000	 7.900
NSFTV_349	 93.750	 77	 92	1.019	0.837	8.000	28.108	1.300	3.852	124.083	22.163	10.875	5.154	5.246	0.912	 6.898	3.073	2.077	3.588	4.985	2.658	3.209	4.883	2.244	1.875	8.668	3	22.980	6.958	 7.600
NSFTV_350	 63.500	 80	 73	0.870	1.096	1.500	26.833	1.717	2.234	107.500	24.100	10.889	4.851	4.998	0.863	 8.773	3.362	2.478	3.901	6.254	2.788	3.477	6.684	2.609	2.244	4.667	3	17.063	4.875	10.800
NSFTV_355	 75.917	 69	 80	0.949	0.863	2.000	26.808	1.042	3.412	126.333	19.878	 8.000	4.881	4.958	0.926	 7.697	3.526	2.449	3.820	5.501	2.985	3.417	6.742	2.183	1.843	6.000	9	14.577	6.250	 8.700
NSFTV_356	 87.000	 68	 80	1.088	0.850	7.500	31.475	1.283	3.924	151.583	28.891	10.636	4.995	5.125	0.878	 7.946	2.971	2.173	3.707	5.687	2.502	3.284	4.974	2.674	2.273	8.665	4	23.503	5.417	 8.050
NSFTV_359	 82.417	 76	 92	0.896	0.826	6.333	31.267	1.644	3.499	131.083	26.613	 9.500	5.198	5.275	0.926	 8.216	2.557	1.841	3.554	5.877	2.186	3.149	3.733	3.213	2.688	7.165	7	25.243	4.958	 8.800
NSFTV_369	 75.750	 76	 79	0.959	0.962	7.500	25.492	0.925	4.075	119.500	19.509	 6.545	4.122	4.211	0.914	 9.051	2.673	2.077	3.720	6.626	2.278	3.339	4.786	3.386	2.908	7.915	6	24.853	5.000	 9.000
NSFTV_370	 84.333	 78	 91	0.927	0.857	6.500	31.375	1.250	3.353	130.750	24.192	 8.250	5.103	5.210	0.898	 7.939	2.833	1.991	3.604	5.597	2.447	3.205	4.392	2.802	2.287	8.498	3	26.035	5.000	 8.150
NSFTV_371	 83.000	 76	 99	0.838	0.768	7.000	40.758	1.525	3.353	133.917	27.058	10.167	5.171	5.273	0.903	 8.419	2.697	1.993	3.639	6.305	2.318	3.284	4.538	3.122	2.720	7.167	8	23.733	6.000	 8.100
NSFTV_372	 85.500	 74	 99	0.864	0.747	6.500	31.267	1.192	3.814	139.750	27.617	 8.000	4.870	4.936	0.937	 8.160	2.585	1.856	3.552	5.776	2.218	3.156	3.825	3.156	2.605	8.002	6	24.760	5.500	 8.300
NSFTV_377	 89.083	 78	109	0.817	0.716	3.000	31.792	1.550	2.944	119.667	23.717	11.333	4.864	5.027	0.850	 8.885	3.154	2.385	3.867	6.584	2.652	3.471	6.299	2.817	2.483	7.998	5	21.277	5.917	 8.800
NSFTV_384	 90.167	 67	106	0.851	0.632	2.000	35.942	1.542	2.886	128.083	24.211	10.556	4.912	5.180	0.765	 8.704	3.100	2.333	3.829	6.526	2.648	3.470	6.322	2.808	2.465	9.000	4	22.520	4.833	 9.250
NSFTV_386	 82.667	 77	104	0.795	0.740	2.000	33.500	1.408	2.979	113.083	24.108	10.500	5.290	5.513	0.800	 8.126	3.028	2.213	3.739	6.115	2.539	3.359	5.404	2.684	2.408	7.665	7	16.380	6.875	 7.700
NSFTV_391	 86.083	 78	112	0.769	0.696	3.500	27.242	1.167	2.813	101.667	26.038	10.875	4.817	5.219	0.668	 9.838	2.523	2.091	3.781	7.437	2.140	3.392	4.714	3.900	3.476	7.998	8	20.507	4.917	 9.000
NSFTV_392	 89.417	 74	112	0.798	0.661	3.000	35.983	1.608	3.121	121.833	24.918	11.091	4.775	5.236	0.631	 9.710	3.048	2.432	3.940	7.290	2.548	3.540	6.493	3.185	2.861	7.835	5	13.657	3.500	 9.700
NSFTV_394	 86.000	 78	105	0.819	0.743	2.333	27.525	1.158	3.143	118.333	22.422	 9.444	4.711	4.891	0.835	 9.441	3.289	2.558	3.986	7.059	2.690	3.566	7.085	2.871	2.624	7.165	6	14.880	3.361	 7.900
NSFTV_395	 90.583	 65	106	0.855	0.613	2.000	33.100	1.408	2.788	117.500	26.683	10.833	5.036	5.179	0.867	 8.986	3.296	2.499	3.930	6.728	2.778	3.545	7.158	2.726	2.422	7.750	1	21.310	5.500	 8.950
NSFTV_396	 84.667	 77	 99	0.855	0.778	3.000	22.508	1.175	2.936	 91.667	21.850	11.167	5.150	5.293	0.867	 9.007	2.547	2.015	3.700	6.971	2.202	3.349	4.638	3.536	3.166	7.168	6	25.020	5.292	 8.425
NSFTV_169	 85.750	 77	102	0.841	0.755	6.000	35.271	0.957	3.229	143.857	29.343	 8.714	3.853	4.699	0.429	10.568	3.488	2.792	4.168	7.684	2.737	3.660	7.875	3.030	2.807	6.333	6	 0.000	6.708	 9.700
NSFTV_172	 73.500	 66	 76	0.967	0.868	2.333	23.833	1.189	3.521	 86.000	22.650	 9.875	4.716	4.837	0.886	 7.877	3.259	2.331	3.779	5.638	2.744	3.366	5.937	2.417	2.054	3.833	1	22.530	5.792	10.500
NSFTV_247	 74.917	 65	 80	0.936	0.813	5.000	21.908	0.717	3.618	 97.250	22.975	 8.818	4.484	4.611	0.881	 7.955	3.603	2.513	3.868	5.628	3.019	3.447	7.013	2.208	1.865	5.835	9	15.463	6.583	 9.800
NSFTV_263	 73.250	 65	 76	0.964	0.855	4.833	27.333	1.225	2.931	108.167	19.945	11.727	5.084	5.186	0.903	 7.834	3.766	2.609	3.911	5.657	3.178	3.510	7.890	2.080	1.780	5.167	9	15.973	6.792	 8.250
NSFTV_265	 77.917	 78	 92	0.847	0.848	4.500	31.317	1.317	2.818	127.583	22.350	 9.375	4.947	5.076	0.879	 8.285	3.989	2.765	4.017	6.055	3.358	3.614	9.134	2.077	1.803	5.667	8	15.515	6.625	 9.850
NSFTV_281	 85.333	 70	 93	0.918	0.753	3.500	31.675	1.092	2.857	113.667	25.450	10.250	4.846	5.055	0.812	 9.468	3.343	2.552	3.980	7.268	2.753	3.618	7.631	2.832	2.640	6.835	9	15.833	5.667	 7.300
NSFTV_284	 81.000	 77	 85	0.953	0.906	5.500	26.558	1.183	3.820	104.000	26.425	 9.250	4.953	5.112	0.852	 9.569	2.581	2.085	3.756	6.753	2.216	3.349	4.755	3.708	3.048	5.832	1	24.367	5.944	 7.900
NSFTV_294	 85.667	 79	 96	0.892	0.823	7.000	27.267	1.167	3.326	107.250	24.150	10.167	5.048	5.305	0.773	 8.383	2.685	2.006	3.649	6.131	2.239	3.233	4.206	3.122	2.738	8.168	1	16.390	7.000	 6.500
NSFTV_295	 78.750	 76	 80	0.984	0.950	4.000	26.067	1.250	3.308	 99.750	19.717	 8.500	4.489	4.633	0.865	 7.925	3.797	2.610	3.912	5.645	3.197	3.502	7.845	2.087	1.766	6.667	8	12.903	7.000	 9.300
NSFTV_244	106.417	 80	117	0.910	0.684	5.000	42.089	1.289	3.252	100.500	30.600	12.857	4.968	5.480	0.600	 9.576	2.890	2.299	3.867	7.075	2.315	3.406	5.151	3.314	3.056	6.668	3	22.337	6.500	 8.500
NSFTV_135	 93.167	 78	101	0.922	0.772	3.000	35.167	1.617	2.708	 99.083	23.809	11.545	4.925	5.181	0.774	 9.054	3.230	2.454	3.913	6.736	2.737	3.529	6.882	2.804	2.461	7.498	1	19.615	5.625	 9.200
NSFTV_342	 90.250	 79	107	0.843	0.738	2.500	36.233	1.408	2.931	118.083	25.122	11.111	5.196	5.525	0.719	 8.110	3.014	2.182	3.721	5.860	2.474	3.307	5.092	2.691	2.369	7.668	5	16.383	7.000	 8.100
NSFTV_90	 82.583	 67	 81	1.020	0.827	8.500	27.300	1.150	3.827	127.167	25.664	 9.818	4.750	4.869	0.888	 7.898	3.239	2.310	3.769	5.426	2.633	3.282	5.210	2.438	2.060	8.168	3	 0.095	6.958	 8.150
NSFTV_167	 88.083	 71	 83	1.061	0.855	3.000	30.375	1.342	3.029	 90.333	26.817	11.250	4.604	5.216	0.542	 9.165	2.539	1.992	3.692	7.061	2.147	3.315	4.314	3.609	3.289	5.833	6	22.110	6.125	 8.900
NSFTV_253	 82.667	 78	100	0.827	0.780	3.667	23.867	1.333	2.996	110.889	20.217	11.833	4.816	5.062	0.782	 8.012	2.947	2.137	3.689	5.794	2.448	3.269	4.768	2.719	2.367	6.835	8	17.777	4.000	 8.300
NSFTV_239	 78.500	 76	 85	0.924	0.894	3.000	26.300	1.456	2.757	106.889	24.688	10.125	4.734	4.888	0.858	 9.001	3.558	2.625	3.990	6.498	2.937	3.564	7.666	2.530	2.212	4.833	1	13.540	3.208	 8.900
NSFTV_397	 88.250	 79	 86	1.026	0.919	3.000	29.125	1.158	2.680	 91.833	22.563	13.625	5.167	5.417	0.779	 9.162	2.443	1.957	3.679	7.110	2.103	3.312	4.240	3.750	3.380	2.667	1	22.622	5.806	 8.875
NSFTV_338	 79.667	 71	117	0.681	0.607	3.500	31.275	1.058	3.000	111.667	23.200	 9.636	4.863	5.000	0.871	 7.518	3.688	2.505	3.836	5.343	3.073	3.422	6.999	2.038	1.739	5.502	9	16.527	6.667	 8.150
NSFTV_249	 74.333	 62	 59	1.260	1.051	3.000	29.300	1.308	3.326	103.250	23.283	 8.167	4.556	4.967	0.662	 8.298	3.850	2.707	3.988	5.899	3.243	3.563	8.474	2.155	1.819	5.667	6	16.697	6.083	 9.150
NSFTV_307	 78.000	 66	 76	1.026	0.868	4.500	27.125	1.192	2.674	101.583	18.283	11.333	4.779	4.922	0.867	 7.767	3.790	2.580	3.882	5.558	3.283	3.520	8.220	2.049	1.693	5.332	9	15.407	7.000	 8.400
NSFTV_256	 62.750	 55	 54	1.162	1.019	4.000	27.883	1.008	3.463	100.667	18.113	 8.875	4.354	4.507	0.859	 8.172	3.530	2.520	3.892	5.999	2.970	3.489	7.193	2.315	2.020	7.002	9	18.430	6.708	 8.850
